,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
75,PersonX is depressed about getting fired,xEffect,decides to seek counseling,Kloee is depressed about getting fired. Now Kloee decides to seek counseling.,"Kloee felt terrible after she was fired from her job. She had worked so hard for so long, and now she was out of a job with no idea what to do next. Kloee decided to seek counseling to help her deal with her depression and figure out her next steps.","[""I can't believe I'm here. I've never been to counseling before.""
 ""It's perfectly normal to feel overwhelmed and lost after losing your job. Can you tell me a little bit about how you're feeling?""
 ""I just feel so lost. I worked so hard for so long, and now I don't know what to do next. Everything feels like it's falling apart.""
 ""It's understandable that you would feel that way. Losing a job can be a very stressful event. But it doesn't have to define you or your future. What are some things you're interested in? What are some skills you have that could be translated into another field?""
 ""I don't know...I've always loved writing, but I don't know if that could ever be anything more than a hobby. And my customer service skills are pretty good, but other than that, I don't know...""
 ""There are many options available to people with excellent writing and customer service skills. Have you considered freelance writing or starting your own business? There are many online platforms where businesses are looking for writers and customer service representatives. With the right skillset, there's no reason why you couldn't be successful in those fields.""
 ""Yeah...I guess that makes sense. It's just hard to think about starting over again after working so hard for so long in one field...but maybe this is an opportunity for something new and different. Thanks for talking with me, it really helps to put things in perspective""]",['Kloee' 'Counselor' 'Kloee' 'Counselor' 'Kloee' 'Counselor' 'Kloee'],Kloee,,,1568097,train,Yes,Yes,Yes,Yes
76,PersonX finds hope and self-esteem in counseling,xIntent,to feel better,Gibson finds hope and self-esteem in counseling because Gibson wants to feel better.,Gibson had been feeling down lately and decided to seek counseling. She found hope and self-esteem in counseling because the counselor helped her to see her worth and how to improve her self-image. Gibson feels better now and is more confident in herself.,"[""I'm not sure if counseling is going to help. I've been down lately and nothing seems to be going my way.""
 ""Gibson, it sounds like you're feeling helpless and hopeless right now. But I want you to know that you are not alone. We all feel like this at times in our lives. The difference is how we deal with those feelings. Counseling can help you learn how to cope with your feelings and improve your self-image.""
 ""I don't know if I'm worth the time or effort.""
 ""Gibson, you are worth the time and effort. We all have moments where we doubt ourselves, but that doesn't mean we should give up on ourselves. You are capable of great things, and I believe in you. With some work, I think you can start to see yourself in a more positive light too.""
 ""I'm not sure if I'm ready to open up yet.""
 ""That's okay, Gibson. We can take things at your pace. There is no pressure to share anything you're not comfortable with. I just want to help you in any way I can.""
 'Thank you, counselor. Just talking to you has already made me feel better.'
 ""I'm glad to hear that, Gibson. Let's talk again soon, okay?""]","['Gibson' 'Counselor' 'Gibson' 'Counselor' 'Gibson' 'Counselor' 'Gibson'
 'Counselor']",Gibson,,,1574935,train,Yes,Yes,Yes,Yes
77,PersonX is given counseling,xIntent,to make a change,Fernanda is given counseling because Fernanda wants to make a change.,Fernanda is seeking counseling because he has been feeling down and wants to make a change in his life. He has been having trouble at work and feels like he is not doing well in his personal life. He wants to learn how to better manage his emotions and improve his relationships.,"['Hi, thanks for seeing me.' 'Of course, how are you doing?'
 ""I'm okay, I guess. I just feel like things aren't going well for me. work is stressing me out and my personal life isn't great either.""
 ""It sounds like you're feeling really down and like you want to make some changes.""
 ""Yeah, I do. I just don't know where to start or what to do differently.""
 ""Well, let's talk about that. What do you think would be helpful?""
 ""I don't know. That's why I came here. I need help figuring out how to better manage my emotions and improve my relationships.""
 ""Okay, those are both great goals. Let's start with managing your emotions first. Can you tell me more about that? What do you think is causing your emotional distress?""
 'It\'s just everything, work, home, everything feels so overwhelming sometimes. And when things get overwhelming, I tend to lash out or shut down completely and it doesn\'t help anything.""'
 ""Yes, it sounds like you're feeling overwhelmed and like you're not sure how to cope with your emotions in a healthy way. Do you want to talk about some specific strategies for managing your emotions better?""]","['Fernanda' 'Counselor' 'Fernanda' 'Counselor' 'Fernanda' 'Counselor'
 'Fernanda' 'Counselor' 'Fernanda' 'Counselor']",Fernanda,,,1666856,train,Yes,Yes,Yes,Yes
78,PersonX suggests seeking counseling,xReact,encouraged,Delana suggests seeking counseling. Now Delana feels encouraged.,"Delana suggested seeking counseling to her friend. Her friend had been going through a tough time and Delana wanted to help. After talking it over, they decided that counseling could be beneficial and decided to give it a try.","['Hi, how are you doing?'
 ""Not great. I've been feeling really down lately.""
 ""That sounds tough. I'm here for you, though. What can I do to help?""
 ""I don't know. It just feels like everything is piling up on me and I can't handle it anymore.""
 'Well, have you considered counseling? It might help you talk through some of your problems and figure out a way to cope with them.'
 ""I don't know if that's really my thing. But maybe it couldn't hurt to try. Thanks for suggesting it, Delana.""
 'Of course! I just want to see you happy and healthy. Let me know if you need anything else, okay?'
 'I will. Thanks.']",['Delana' 'Friend' 'Delana' 'Friend' 'Delana' 'Friend' 'Delana' 'Friend'],Delana,,,1680833,train,Yes,Yes,Unknown,No
79,PersonX suggests seeking counseling,xWant,to see a therapist,Misael suggests seeking counseling. Now Misael wants to see a therapist.,Misael has been struggling with her mental health for a while and has decided to seek counseling. She makes an appointment with a therapist and goes to her first session. Misael feels better after talking to the therapist and is hopeful for the future.,"[""I'm not really sure where to start.""
 ""That's okay. Why don't you tell me a little bit about what's been going on?""
 ""Well, I've been feeling really down and anxious lately. I can't seem to shake this feeling no matter what I do. And it's starting to affect my everyday life. I'm not sleeping well, I'm losing interest in things I used to enjoy, and I just feel so hopeless all the time.""
 ""It sounds like you're experiencing some pretty severe symptoms of depression. Have you ever been diagnosed with depression before?""
 'No, but my family has a history of mental illness, so I was always worried that something like this might happen to me too.'
 'There\'s no shame in seeking help for something like this. Depression is a very real and serious condition that can be effectively treated with counseling and medication. So, we\'ll definitely want to keep an eye on your symptoms and see how they progress over time. But for now, let\'s focus on some coping strategies that might help you feel better in the meantime.""'
 ""That sounds like a good idea. I'm really tired of feeling like this all the time.""
 ""Okay, well one thing you might want to try is keeping a journal. Sometimes writing down your thoughts and feelings can help you to process them in a more constructive way. You might also want to consider talking to someone else who understands what you're going through, like a friend or family member.""
 ""Yeah, I've been thinking about doing that too. I just don't know if it will really make a difference.""
 'It\'s definitely worth a shot. And even if it doesn\'t seem like it\'s helping at first, keep at it and be patient. Change takes time, but I promise it\'s possible. Just keep taking things one day at a time and reaching out for support when you need it.""']","['Misael' 'Therapist' 'Misael' 'Therapist' 'Misael' 'Therapist' 'Misael'
 'Therapist' 'Misael' 'Therapist']",Misael,,,1684122,train,Yes,Yes,Yes,Yes
80,PersonX suggests something,xIntent,to be helpful,Deidre suggests something because Deidre wants to be helpful.,Deidre suggested that the couple go to counseling. Deidre had read an article about how effective counseling could be for couples who were experiencing difficulty in their relationship.,"['I read an article that said counseling can be really effective for couples who are having difficulty in their relationship.'
 ""I don't know, Deidre. I'm not sure if I'm ready to open up to a stranger like that.""
 'Well, the article said that counseling can help couples communicate better and work through their problems.'
 ""I don't know...I just feel like our problems are too personal to share with someone else.""
 ""honey, we've been having the same arguments for months now and nothing has changed. Maybe it's time to try something new.""
 ""Okay, Deidre. Let's give it a try.""]",['Deidre' 'Wife' 'Deidre' 'Wife' 'Deidre' 'Wife'],Deidre,,,1700161,train,Yes,Yes,Yes,Yes
81,PersonX doesn't know how to face the problem,xReact,helpless,Tomi doesn't know how to face the problem. Now Tomi feels helpless.,"In order to better deal with her parent's divorce, Tomi begins seeking out counseling. Through weekly sessions, Tomi starts to understand her parent's divorce and how it will affect her life going forward. While it is still a difficult time, Tomi slowly starts to feel more in control of her life once again.","[""It's been really tough lately. I don't know how to deal with my parent's divorce.""
 ""I'm sorry to hear that, Tomi. It's natural for you to feel overwhelmed and confused right now. Can you tell me more about how you're feeling?""
 ""I just feel so lost. I don't know what my life is going to be like now that they're splitting up. I'm scared that I won't see either of them as much or that things are going to change drastically. And on top of all that, I feel like it's somehow my fault.""
 ""It's common for children of divorce to feel like they could have done something to prevent it or that they are somehow responsible. But it's important for you to understand that your parent's divorce is not your fault and there was nothing you could have done to prevent it. Just as marriages can end in divorce, so can relationships between parents and their children. It doesn't mean that anyone did anything wrong, it can just happen sometimes. As for how your life will change, it likely will in some ways but it doesn't have to be all bad changes. For example, maybe you'll get more one-on-one time with each parent since they won't both be busy with work at the same time anymore. There might also be some financial changes but again, these don't have necessarily have to be negative ones - perhaps your parents will be able split child-related expenses between them more evenly now than when they were married which would benefit you financially overall in the long run despite any short-term disruptions caused by the divorce itself such as one parent moving out of the family home, etcetera Do either of those sound like potential positives that could come from this situation? How do you think things could change for the better in your life as a result of your parent's divorce?""
 ""I hadn't really thought about it like that. I guess it would be nice to have more time with each of them individually. And it would definitely be helpful financially if they could split things more evenly.""
 'It sounds like you\'re starting to see some potential positives in the situation which is great. It\'s normal to focus on the negative aspects of a divorce when you\'re going through it but try to remember that there can be some good that comes from it as well. Just as marriages can end in divorce, so can relationships between parents and their children. It doesn\'t mean that anyone did anything wrong, it can just happen sometimes.""']",['Tomi' 'Counselor' 'Tomi' 'Counselor' 'Tomi' 'Counselor'],Tomi,,,1732178,train,Unknown,Yes,No,No
82,PersonX needs counseling,xReact,frustrated,Arjun needs counseling. Now Arjun feels frustrated.,Arjun needs counseling because they feel frustrated. They have been struggling with their mental health for a while and feel like they need someone to talk to.,"[""I don't know what to do. I feel so lost and frustrated.""
 'Why do you feel that way?'
 ""Because nothing seems to be going right in my life. Everything is a mess and I can't seem to fix it.""
 'What specifically is causing you distress?'
 ""It's everything! My job, my relationships, my mental health...everything is just a big mess right now. I feel like I'm drowning and I can't seem to find my way out.""
 'That does sound very difficult. Do you want to talk about specific examples of what is going on in your life that is causing you distress?'
 ""Sure. I guess one big thing is my job. I hate it. I'm completely unfulfilled and it's just really frustrating. My relationships are also a mess. I'm constantly fighting with my significant other and it's just really draining. As for my mental health, I've been struggling for a while now and I feel like I'm at my wit's end. Nothing seems to be helping and I just feel so lost.""
 ""Thank you for sharing that with me, Arjun. It sounds like you are going through a lot right now. It's understandable that you would feel overwhelmed and frustrated in your current situation. Do you have any ideas of what you could do to start making some changes?""
 ""Not really...I feel like I've tried everything and nothing has worked so far.""
 ""Well, let's brainstorm some ideas together then and see if we can come up with something that might work better for you.""]","['Arjun' 'Counselor' 'Arjun' 'Counselor' 'Arjun' 'Counselor' 'Arjun'
 'Counselor' 'Arjun' 'Counselor']",Arjun,,,1753013,train,Yes,Yes,Yes,Yes
83,PersonX receives counseling,xEffect,is better able to cope with stress,Keaira receives counseling. Now Keaira is better able to cope with stress.,"Keaira is a high school student who has been struggling to cope with the stress of school and her social life. She has been receiving counseling from a therapist, which has helped her to better understand and manage her stress. She is now able to better cope with the demands of school and her social life, and feels more in control of her life overall.","[""I'm feeling really good these days. I feel like I'm finally getting a handle on things. Stress isn't such a big deal anymore and I'm able to just let it roll off my back. I don't know if it's the counseling or what, but something has definitely changed and I'm really happy about it.""
 ""I'm glad to hear that you're doing better, Keaira. It sounds like the counseling is really helping you to cope with stress in a more healthy way. Can you tell me more about what you've been doing that's been helping you?""
 ""Well, one thing that's been helpful is just learning to recognize when I'm starting to feel overwhelmed or stressed out. Once I can identify those feelings, it's easier for me to take some deep breaths and relax myself before things get too out of control. That always used to be my biggest problem, is that I would get so stressed out and then everything would just snowball until I was a total wreck. But now I feel like I can nip it in the bud before it gets too bad.""
 ""That sounds like excellent progress, Keaira! Being able to identify your stressors and then take steps to prevent them from getting too overwhelming is a great skill to have. Do you think you'll be able to continue using these techniques even when things get tough?""
 ""Yeah, I think so. It's definitely not always easy, but I feel like I'm getting better at it. And even when things do get tough, I know that I can always come talk to you and that really helps too.""
 ""That's great to hear, Keaira. I'm always here to help you in any way I can.""]",['Keaira' 'Therapist' 'Keaira' 'Therapist' 'Keaira' 'Therapist'],Keaira,,,1770733,train,Yes,Yes,Yes,Yes
84,PersonX finds hope and self-esteem in counseling,xEffect,feels better about herself,Nakiyah finds hope and self-esteem in counseling. Now Nakiyah feels better about herself.,Nakiyah started attending counseling sessions to work on her self-esteem. She found hope in the counselor's words and felt better about herself after each meeting. Now Nakiyah feels more confident and has a positive outlook on life.,"['Hey, thank you so much for seeing me again. I really appreciate it.'
 'Of course, Nakiyah. How are you doing?'
 ""I'm doing alright. I've been attending my sessions regularly and I feel like I'm slowly but surely improving.""
 ""That's great to hear! Can you tell me more about how you've been feeling?""
 ""Yeah, definitely. Like I said, I feel like my self-esteem has been gradually getting better. I'm starting to believe in myself more and see my worth more clearly. Every day feels a little bit better than the last, and that gives me hope for the future.""
 ""That's fantastic news, Nakiyah! It sounds like you're really making progress. Keep up the good work!""]",['Nakiyah' 'Counselor' 'Nakiyah' 'Counselor' 'Nakiyah' 'Counselor'],Nakiyah,,,1773739,train,Yes,Yes,Yes,Yes
85,PersonX has the idea,xIntent,to help people,Luana has the idea because Luana wants to help people.,"Luana had the idea to start a non-profit organization that provides food and clothing to the homeless. She was motivated by her own experiences as a homeless person, and she wanted to help others in the same situation. The organization provides food and clothing to homeless people in the community, and it also offers counseling services and job training.","[""Hey, Luanah. I've been thinking a lot lately about how we can help the homeless in our community.""
 ""Yeah, that's something I've been thinking about too. It's such a big problem.""
 ""I know. I was actually homeless myself for a while, and it was really tough. I want to help others who are going through the same thing. That's why I'm thinking of starting a non-profit organization that provides food and clothing to the homeless.""
 ""That's an amazing idea! I would love to help you with that. What do you need?""
 ""Well, I'm still in the process of figuring everything out. But I think it would be a great idea to start collecting food and clothes from people in the community. We could also offer counseling services and job training.""
 ""That sounds like a really great idea. I'm sure there are a lot of people who would be willing to donate food and clothes. And we could definitely use our counseling skills to help people get back on their feet.""
 'Yeah, I think it would be a really great way to help the homeless in our community. Thanks for your support, Luanah!']",['Luana' 'Luanah' 'Luana' 'Luanah' 'Luana' 'Luanah' 'Luana'],Luana,,,1800713,train,Yes,Yes,Yes,Yes
86,PersonX begins a counseling session,xAttr,kind,Deacon is kind. Deacon begins a counseling session.,"Deacon is a kind and caring person. They are always willing to help others, and they are especially good at listening. Deacon is great at counseling sessions because they make the person feel comfortable and really listen to what they have to say.","['Thank you for coming to talk with me today. How are you doing?'
 ""I'm feeling really overwhelmed and stressed out lately. I don't know how to handle everything that's going on.""
 'It sounds like you are feeling a lot of pressure right now. Can you tell me more about what is going on?'
 ""I'm failing my classes, my parents are disappointed in me, and I don't know what to do.""
 ""Failing your classes can be really tough and discouraging. And it sounds like your parents' disappointment might be adding to your stress. Can you tell me more about your relationship with your parents? Are they supportive or critical?""
 ""They're both critical and disappointed in me. Nothing I do is ever good enough for them. They're always comparing me to my sister, who is perfect in their eyes. No matter how hard I try, I can never measure up to her.""
 ""That must be really tough for you, constantly feeling like you're not good enough and never measuring up. That sounds like a lot of pressure and unrealistic expectations from your parents. Have you talked to them about how you feel?""
 ""No, I haven't because they would just get mad at me and say that I'm being lazy or making excuses or something like that. But even if I could talk to them about it, what would I say? They've already made up their minds about me.""]",['Deacon' 'Person' 'Deacon' 'Person' 'Deacon' 'Person' 'Deacon' 'Person'],Deacon,,,1818881,train,Yes,Yes,Yes,Yes
87,PersonX starts a ministry,xAttr,a good leader,Koby is a good leader. Koby starts a ministry.,"Koby is a good leader and starts a ministry that helps the homeless. The ministry provides food, clothing, and shelter to the homeless. It also offers counseling and job training to help them get back on their feet.","[""I'm so glad you could help out today, Sarah. This ministry is really important to me.""
 ""I know. It's a great cause. I'm happy to help however I can.""
 ""Yeah, it's just so sad that there are so many people in our city who are homeless and don't have anywhere to go.""
 ""I know. It's heartbreaking.""
 ""I feel like we're making a difference, though. Even if it's just one person we're helping, it's worth it.""
 'Absolutely. So what do you think the future holds for this ministry?'
 ""Well, I hope that we can continue to grow and reach more people. There's always more work to be done, but I think we're off to a good start. Thanks for your support, Sarah.""]",['Koby' 'Sarah' 'Koby' 'Sarah' 'Koby' 'Sarah' 'Koby'],Koby,,,1838638,train,Yes,Yes,Yes,Yes
88,PersonX suggests seeking counseling,xIntent,to get help,Stewart suggests seeking counseling because Stewart wants to get help.,Stewart felt like she needed to seek counseling because she was struggling to cope with her anxiety. She had been feeling more anxious lately and it was impacting her daily life. She decided to seek professional help in order to learn how to better manage her anxiety.,"['Hi, thank you so much for seeing me today.'
 'Of course, what can I do for you?'
 ""Well, I've been feeling really anxious lately and it's been impacting my daily life. I was hoping to get some help in managing my anxiety.""
 'That sounds difficult. Can you tell me more about what has been going on?'
 ""Sure. Lately, I've been feeling really on edge and anxious all the time. It's hard to concentrate at work or relax at home because I'm always worrying about things that could go wrong. I'm also having a lot of intrusive thoughts and my sleep has been affected too.""
 ""Intrusive thoughts are definitely a symptom of anxiety. It sounds like you're struggling quite a bit with this. Are there any particular triggers that seem to make your anxiety worse?""
 ""Yeah, there are definitely certain things that trigger my anxiety more than others. For example, if I'm around people who are talking loudly or if there's a lot of commotion going on, that tends to make me feel really uneasy and stressed out. Also, anything that reminds me of previous traumatic experiences will usually set off my anxiety as well. Just thinking about those things makes my heart start racing and it's hard to catch my breath sometimes too.""
 ""It sounds like your anxiety is pretty severe and it's impacting your life in a significant way. Have you ever sought professional help for this before?""
 ""No, I haven't. This is actually the first time I'm seeking help for my anxiety.""
 ""Well, I'm glad you've decided to seek help. I think it would be beneficial for you to learn some coping and relaxation techniques to help you deal with your anxiety. Would you be interested in learning some of these techniques?""
 'Yes, definitely. I would love to learn anything that could help me better manage my anxiety.']","['Stewart' 'Counselor' 'Stewart' 'Counselor' 'Stewart' 'Counselor'
 'Stewart' 'Counselor' 'Stewart' 'Counselor' 'Stewart']",Stewart,,,1886718,train,Yes,Yes,Yes,Yes
89,PersonX begins a counseling session,xEffect,learns to deal with his emotions,Bentlee begins a counseling session. Now Bentlee learns to deal with his emotions.,Bentlee begins a counseling session. The counselor helps Bentlee to understand his emotions and how to deal with them. Bentlee learns that his emotions are normal and that he can control them.,"[""I'm feeling really down lately. I don't know what to do with myself.""
 ""It sounds like you're going through a tough time. Can you tell me more about what's going on?""
 ""I just feel like I can't do anything right. My job is stressful, my relationships are falling apart, and I just feel like a total failure. I don't know how to fix any of it.""
 ""It sounds like you're feeling overwhelmed and hopeless right now. Those are normal feelings to have when facing difficult challenges, but it's important to remember that you can control how you react to your emotions. You don't have to let them control you.""
 ""I'm not sure how to do that. It feels like everything is just spiraling out of control.""
 ""Let's start by breaking down your challenges one by one. What is the most pressing issue you're facing right now? We can work on a plan to address that issue and then move on to the others.""
 ""I guess my job is the most pressing issue. I'm in danger of losing it, and I don't know what else I would do.""
 ""OK, let's focus on that then. What specifically about your job is causing you stress?""
 ""It's just really demanding and I'm constantly under pressure. I feel like I'm never doing enough, no matter how hard I try.""
 ""That sounds very difficult to deal with. Have you talked to your boss about how you're feeling?""
 ""No, I don't want to seem like I can't handle the job. But it's really starting to affect my mental health and my personal life.""
 ""That's a valid concern. It's important to communicate with your boss about what you're experiencing so they can understand how best to support you. Perhaps there are some adjustments that can be made to help relieve some of the pressure you're under.""
 ""I hadn't thought of that... maybe talking to my boss would help me feel better about the situation.. thank you for suggesting it""]","['Bentlee' 'Counselor' 'Bentlee' 'Counselor' 'Bentlee' 'Counselor'
 'Bentlee' 'Counselor' 'Bentlee' 'Counselor' 'Bentlee' 'Counselor'
 'Bentlee']",Bentlee,,,1895581,train,Yes,Yes,Yes,Yes
90,PersonX overcomes gambling addiction,xNeed,to stop gambling,Areli stopped gambling. Areli overcomes gambling addiction.,Areli stopped gambling when she realized how much it was costing her. She overcame her addiction by going to counseling and getting help from her family and friends.,"[""I just don't know how to stop. Every time I sit down at a table or put money into a slot machine, I just feel this urge to keep going until I've won big or lost everything.""
 'Well Areli, gambling addiction is a very serious issue. It can ruin your life if you let it.'
 ""I know that. I've seen what it's done to my finances and my relationships. But I just can't seem to stop myself.""
 ""That's why you need to get help. There are counselors and support groups that can help you overcome your addiction.""
 ""I'm not sure if I'm ready for that yet.""
 ""That's okay, Areli. Just take it one day at a time and reach out for help when you're ready.""]",['Areli' 'Counselor' 'Areli' 'Counselor' 'Areli' 'Counselor'],Areli,,,1942230,train,Yes,Yes,Yes,Yes
91,PersonX enters counseling,xIntent,to be able to communicate with others,Rylin enters counseling because Rylin wants to be able to communicate with others.,"Rylin enters counseling because she wants to communicate better with others and be able to express herself without feeling shy or anxious. She also wants to learn how to handle relationships better, both romantic and platonic.","[""Hi, I'm here for my appointment.""
 'Hi, Rylin. Come on in and have a seat. So, what brings you in today?'
 'Well, I guess I just want to learn how to communicate better with others. I get really shy and anxious around people, and it makes it hard for me to express myself. I also want to learn how to handle relationships better. Both romantic and platonic ones.'
 ""Okay, those are both great things to work on. Communication is such an important skill, and being able to navigate relationships can be tricky. But I think we can definitely help you with both of those things. Let's start by talking about why you feel shy and anxious around people. Can you tell me more about that?""
 ""Yeah, I guess I just feel like I'm not good enough or that I'll say something wrong. So, I get really tongue-tied and it's hard for me to even start a conversation.""
 ""That sounds pretty common. A lot of people feel like they're being judged when they're around others, so they tend to clam up. But the more you practice, the easier it will become. Do you want to try some role-playing with me? We can pretend like we're at a party or something and see how you do starting up a conversation.""
 'Yeah, that sounds good.'
 ""Okay, let's see...I'll be the person you're talking to at the party. Hi!""
 'Hi! Um...so what do you do?' 'I work in marketing. And you?'
 ""Oh, um, I'm a student right now. But I'm thinking about going into law enforcement after graduation.""
 ""Really? That's interesting. Why law enforcement?""
 ""Well, ever since I was little, I've always wanted to help people and make a difference in my community. And I think being a police officer would allow me to do that. Plus, my dad is a police officer too, so it's kind of in my blood! Ha ha...""
 'That makes sense! So, it sounds like you have your head on straight and know what you want to do with your life which is great!']","['Rylin' 'Counselor' 'Rylin' 'Counselor' 'Rylin' 'Counselor' 'Rylin'
 'Counselor' 'Rylin' 'Counselor' 'Rylin' 'Counselor' 'Rylin' 'Counselor']",Rylin,,,1949029,train,Yes,Yes,Yes,Yes
92,PersonX finds hope and self-esteem in counseling,xReact,encouraged,Karime finds hope and self-esteem in counseling. Now Karime feels encouraged.,Karime finds hope and self-esteem in counseling. The counselor helps Karime to see his worth and encourages him to keep moving forward. Karime feels inspired after his sessions and is grateful for the guidance he received.,"['Hey, thanks for seeing me today.'
 'Of course, Karime. How are you doing?'
 ""I've been better. Just feeling a little down lately.""
 ""I'm sorry to hear that. What's been going on?""
 ""Just life, I guess. Everything seems so hard right now and I don't know if I can keep going.""
 ""Karime, it sounds like you're feeling like giving up. But I want you to know that you are not alone and that there is hope. You are worth fighting for and I believe in you. Let's talk about some things that might help you feel better and get through this tough time.""
 'Thank you. Just talking to you makes me feel a little better already.'
 ""I'm glad to hear that. Remember, I'm here for you and we will get through this together.""]","['Karime' 'Counselor' 'Karime' 'Counselor' 'Karime' 'Counselor' 'Karime'
 'Counselor']",Karime,,,1951025,train,Yes,Yes,Yes,Yes
93,PersonX suggests seeking counseling,xReact,sad,Eusebio suggests seeking counseling. Now Eusebio feels sad.,"Eusebio suggested that her friend seek counseling, as she felt that it would help her friend deal with her sadness. Her friend was hesitant at first, but after some convincing from Eusebio, she decided to give it a try.","[""Hey, I've been meaning to talk to you about something."" ""What's up?""
 ""I noticed that you've been really down lately and I just wanted to check in with you. How are you doing?""
 ""I'm okay, I guess. Just feeling a little down lately.""
 'Yeah, I can understand that. It sounds like things have been tough for you recently. Do you want to talk about it?'
 ""I don't know...I'm just feeling really sad all the time and it's hard to shake off. Everything seems pointless and bleak. And on top of that, my mom is really sick and it's just a lot to deal with right now.""
 ""Oh, wow. That sounds really tough. I'm so sorry to hear that your mom is sick too. It sounds like you're dealing with a lot right now. Have you talked to anyone else about how you're feeling?""
 ""No, not really. I don't want to burden anyone else with my problems but at the same time, it feels like nobody would understand anyway so what's the point? Eusebio suggested that her friend seek counseling, as she felt that it would help her friend deal with her sadness; however her friend was hesitant at first but after some convincing from Eusebio decided to give it a try""
 ""Well, I'm here for you if you ever want to talk. And I think it might be helpful for you to talk to someone who can help you deal with all of this. Have you ever considered counseling?""
 ""I don't know...I've never really thought about it. But maybe you're right, it couldn't hurt to try.""
 ""Great! I'm glad you're considering it. I think it would really help you to talk to someone who can offer some impartial support and guidance. There are a lot of great counselors out there who can help you work through all of this.""
 ""Yeah, maybe that's something I should look into then. Thanks for suggesting it, Eusebio.""
 ""Of course! Like I said, I'm always here for you if you need to talk. And please don't hesitate to reach out if you need anything, okay?""
 'Okay, thanks Eusebio.']","['Eusebio' 'Friend' 'Eusebio' 'Friend' 'Eusebio' 'Friend' 'Eusebio'
 'Friend' 'Eusebio' 'Friend' 'Eusebio' 'Friend' 'Eusebio' 'Friend']",Eusebio,,,1953416,train,Yes,Yes,No,No
94,PersonX sees past PersonY's sick act,xAttr,understanding,Cylas is understanding. Cylas sees past Erykah's sick act.,Cylas saw Erykah hit his girlfriend and knew that he needed to get help. He decided to talk to him and see if he could get him to go to counseling.,"['Hey, man. I saw what happened back there and I just wanted to check on you. Are you doing alright?'
 ""Yeah, I'm fine. Just a little fight with my girlfriend, no big deal.""
 ""No, man, that wasn't just a little fight. I could see the anger in your eyes and hear the way you were talking to her. That wasn't normal.""
 ""So what, you're saying I'm abusive or something?""
 ""No, I'm not saying that. But whatever is going on with you, it's not healthy and it's not ok to take it out on her like that.""
 ""Hey, mind your own business! It's none of your concern what goes on between me and my girlfriend!""
 ""It is my concern when I see someone who is supposed to be the person they love treating them like that. Look, man, whatever it is that's going on, we can talk about it. Maybe I can help you get some counseling or something?""
 ""No way! There's nothing wrong with me and I don't need any help! Just stay out of my business!""
 ""Max, I'm just trying to help. But if you don't want my help, that's fine. Just please promise me that you'll try to get some help on your own. This isn't normal and it's not ok.""
 'Fine, whatever. Just leave me alone.']","['Cylas' 'Erykah' 'Cylas' 'Erykah' 'Cylas' 'Erykah' 'Cylas' 'Erykah'
 'Cylas' 'Erykah']",Cylas,Erykah,,1967147,train,Unknown,Unknown,Yes,Yes
95,PersonX finds hope and self-esteem in counseling,xIntent,to improve her life,Page finds hope and self-esteem in counseling because Page wants to improve her life.,Page finds hope and self-esteem in counseling because she wants to feel better about herself and her life. She has been struggling lately and feels like counseling will help her improve her situation.,"[""I'm really struggling lately. I feel like I'm not good enough and my life is a mess.""
 ""It sounds like you're feeling pretty down about yourself. Can you tell me more about why you feel this way?""
 ""I don't know, I just feel like I'm not doing anything right. Everything seems to be going wrong and I can't seem to fix it.""
 ""It sounds like you're feeling pretty helpless right now. Page, let me tell you something, you are not alone in feeling this way. A lot of people feel like they're not good enough or that their life is a mess at some point in time. The important thing is how you deal with those feelings and what you do to change your situation. Page, from what you've said, it sounds like you want to change your situation but don't necessarily know how. Is that accurate?""
 ""Yeah, I guess so. I mean, I don't want to feel like this forever but I don't know where to start or what to do differently.""
 ""Well, let's start by exploring why you feel this way and see if we can come up with some ideas together on how to improve your situation. Sound good?""]",['Page' 'Counselor' 'Page' 'Counselor' 'Page' 'Counselor'],Page,,,1979562,train,Yes,Yes,Yes,Yes
96,PersonX starts a ministry,xEffect,gets a lot of followers,Carlo starts a ministry. Now Carlo gets a lot of followers.,"Carlo's ministry was started with the intention of helping those in need. After gaining a following, she decided to open up a physical location where her and her team could help even more people. They now offer services such as food and clothing assistance, financial counseling, and more.","[""Hey, how's it going?""
 ""Hey! I'm doing alright. Just got done helping a family with some food and clothing assistance.""
 ""That's great! How did they seem to be doing?""
 ""They were really appreciative. They said they didn't know what they would have done without our help.""
 ""That's what we're here for. To help people in need. We're so blessed to be able to do this work.""
 'Yeah, I know. I feel the same way.'
 ""Okay, well I'm going to go grab some lunch. I'll see you later.""
 'See you!']","['Carlo' 'Team member' 'Carlo' 'Team member' 'Carlo' 'Team member' 'Carlo'
 'Team member']",Carlo,,,1980315,train,Yes,Yes,Yes,Yes
