,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
85,PersonX and PersonY read to each other,xIntent,to make PersonY feel better,Tennessee and Pryce read to each other because Tennessee wants to make Pryce feel better.,"Tennessee and Pryce read to each other every day because Tennessee knows that it makes Pryce feel better. Tennessee always chooses books that she knows will make Pryce laugh, and she always tries to act out the parts of the story that Pryce likes the most.","['""Hi Pryce! I\'m so glad you\'re feeling better today. I brought you your favorite book, \'The Very Hungry Caterpillar\'. Let\'s read it together!""'
 '""Oh, thank you Tennessee! I would love to read it with you.""'
 '""Great! I\'ll start on the first page then. \'Once there was a very hungry caterpillar...\'""'
 '""Oh, I love this part! The caterpillar is so cute.""'
 '""I know, right? He\'s so hungry that he eats everything in sight!""'
 '""Poor thing. I\'m glad he finally finds something to eat.""'
 '""Me too. Well, let\'s see what happens on the next page...""']",['Tennessee' 'Pryce' 'Tennessee' 'Pryce' 'Tennessee' 'Pryce' 'Tennessee'],Tennessee,Pryce,,615123,train,Yes,Yes,Yes,Yes
86,PersonX leads and guides PersonY,xIntent,to make PersonY feel better,Carolina leads and guides Akram because Carolina wants to make Akram feel better.,"Carolina wanted to make Akram feel better, so she led her by the hand and guided her through the store. Carolina showed Akram where everything was and helped her find what she needed.","[""I'm sorry that you're feeling so lost, Akram. Let me help you find what you need. We'll start with the basics, like shampoo and conditioner. Where do you usually keep those in your bathroom at home?""
 ""I don't really have a set place for them. I just put them wherever there's room.""
 ""Okay, well in this store, they're over here on the left side of the aisle. Let's grab a couple of bottles and then we can move on to other things.""
 'Thank you, Carolina. I appreciate your help.'
 ""Of course! That's what friends are for, right? Now, let me see... it looks like we have a few different options for shampoo and conditioner. Do you have any preference?""
 'Not really. Whatever smells good, I guess.'
 ""Alright, how about this one? It's got a nice floral scent. Or we could try this one that's more fruity smelling.""
 'The floral one sounds good.'
 ""Great! Grab a couple of those and we'll move on to something else.""]","['Carolina' 'Akram' 'Carolina' 'Akram' 'Carolina' 'Akram' 'Carolina'
 'Akram' 'Carolina']",Carolina,Akram,,616874,train,Yes,Yes,Yes,Yes
87,PersonX presses PersonY's hand,xIntent,to make PersonY feel better,Amity presses Sophia's hand because Amity wants to make Sophia feel better.,Amity squeezes Sophia's hand because Amity wants to make Sophia feel better. Sophia has just received some bad news and is upset. Amity wants to show her support and comfort her friend.,"[""I'm so sorry to hear about what happened, Sophia. I can't even imagine how you must be feeling. If there's anything I can do to help, please, just let me know. I'm here for you, no matter what.""
 ""Thank you, Amity. Just knowing you're here for me makes me feel a little better. I'm just so overwhelmed right now, I don't even know what to do.""
 ""Why don't we start by taking a deep breath and just letting it out slowly? There, that's better, isn't it? Just focus on your breath and try to clear your mind.""
 'Yeah, that does help. Thank you.'
 ""You're welcome. Now, do you want to talk about what happened? I'm here to listen if you need to get it off your chest.""
 ""Okay. It's just...my mom called me earlier and she told me that my dad has cancer. He's been sick for a while and they've been trying different treatments but nothing has worked so far. The doctors say it's terminal and there's nothing more they can do.""
 'Sophia, I am so sorry. That must be incredibly difficult for you to hear. How are you doing with all of this?'
 ""I don't know...I feel like I'm in shock or something. I keep thinking maybe this is all just a nightmare and I'll wake up any minute now but it's not happening. This is really happening and my dad is going to die...""]",['Amity' 'Sophia' 'Amity' 'Sophia' 'Amity' 'Sophia' 'Amity' 'Sophia'],Amity,Sophia,,622557,train,Yes,Yes,Yes,No
88,PersonX persuades PersonY to act,xIntent,to make PersonY feel better,Demario persuades Ziyah to act because Demario wants to make Ziyah feel better.,"Demario wanted to make Ziyah feel better, so she persuaded him to act. Demario told Ziyah that he was a great actor and that she loved watching him perform. She also said that she knew he could make her feel better by acting out a scene from one of his favorite movies.","[""You're a great actor, Ziyah. I love watching you perform.""
 'Thanks, Demario. I appreciate that.'
 'I know you can make me feel better by acting out a scene from one of your favorite movies.'
 'Okay, sure. What movie would you like to see?'
 'How about The Godfather?' 'Sounds good to me.'
 ""Great! So, what's the scene about?""
 ""Well, it's the scene where Michael Corleone is talking to his godfather, Vito Corleone, about taking over the family business. Michael is hesitant at first, but Vito encourages him to do it for the sake of the family.""
 ""That sounds like a great scene! I can't wait to see it.""]","['Demario' 'Ziyah' 'Demario' 'Ziyah' 'Demario' 'Ziyah' 'Demario' 'Ziyah'
 'Demario']",Demario,Ziyah,,631000,train,Yes,Yes,Yes,Yes
89,PersonX tells PersonY that they love them,xWant,to make PersonY feel better,Stephan tells Jaylene that they love them. Now Stephan wants to make Jaylene feel better.,Stephan tells Jaylene that they love him. She says that she is sorry for what happened and wants to make things right. Stephan gives Jaylene a hug and a kiss on the cheek.,"[""I'm so sorry for what happened, Jaylene. I know it was my fault and I want to make things right.""
 ""It's not your fault, Stephan. I know you didn't mean to hurt me.""
 ""But I did hurt you and that's all that matters. I want to make things right between us.""
 'What can I do?'
 ""Just give me a chance to show you how much I care about you. That's all I ask.""
 ""Alright, Stephan. I'll give you a chance.""]",['Stephan' 'Jaylene' 'Stephan' 'Jaylene' 'Stephan' 'Jaylene'],Stephan,Jaylene,,646056,train,Yes,Yes,Yes,Yes
90,PersonX slips PersonY a drug,xIntent,to make PersonY feel better,Casey slips Adira a drug because Casey wants to make Adira feel better.,"Casey gave Adira a pill to take because he wanted her to feel better. The pill was small and white, and it made Adira feel very sleepy.","['Hey, how are you feeling?'
 ""I'm feeling a little better, thanks. The pill you gave me made me feel very sleepy.""
 ""I'm glad it helped. How's your head?""
 ""It's still a little fuzzy, but the pain is gone. Thank you for taking care of me.""
 ""It's no problem. I just want to make sure you're feeling better.""
 ""I appreciate it. I think I'm going to go back to sleep now.""
 ""Okay, get some rest. I'll check on you later.""]",['Casey' 'Adira' 'Casey' 'Adira' 'Casey' 'Adira' 'Casey'],Casey,Adira,,652909,train,Yes,Yes,Yes,Yes
91,PersonX makes PersonY relax,xIntent,to make PersonY feel better,Treston makes Darrion relax because Treston wants to make Darrion feel better.,"Treston sat down next to Darrion on the bench and asked him what was wrong. When Darrion told her he was worried about his upcoming math test, Treston offered to help him study. She spent the next hour going over practice problems with Darrion, until he felt more confident about the material.","[""Hi, Darrion. What's up?""
 ""Hey, Treston. I'm just a little stressed out about my math test coming up.""
 'Oh, I completely understand. Math can be pretty tough sometimes. Do you want me to help you study for it?'
 'That would be great, thanks.'
 ""Okay, let's go over some of the practice problems together. I think that will help you feel more confident about the material.""
 'Alright, sounds good.'
 'So, this first problem looks a little tricky. What do you think we should do?'
 ""Hmmm, well, I'm not sure. I think we could try solving it using the quadratic equation.""
 ""That's a great idea! Let's give it a shot.""]","['Treston' 'Darrion' 'Treston' 'Darrion' 'Treston' 'Darrion' 'Treston'
 'Darrion' 'Treston']",Treston,Darrion,,665447,train,Yes,Yes,Yes,No
92,PersonX orders PersonY's drink,xIntent,to make PersonY feel better,Eoin orders Dalen's drink because Eoin wants to make Dalen feel better.,"Eoin saw that Dalen's drink was empty, so he ordered her another one. He wanted to make her feel better because she looked like she was having a bad day.","[""I'm sorry to hear that you're having a bad day. It sounds like it's been really tough.""
 ""Yeah, it has been. I just feel like I can't catch a break lately. Everything seems to be going wrong.""
 ""That definitely sounds tough. I'm here for you though, so if you need to talk, I'm all ears.""
 ""Thanks, Eoin. Just knowing that you're here for me makes me feel a little better already.""
 ""Of course, Dalen. That's what friends are for. So, tell me what's been going on?""
 ""Well, I've just been feeling really overwhelmed lately. My job is really demanding and I'm just not sure how much longer I can keep doing it.""
 ""That sounds like a lot to handle. Have you talked to your boss about how you're feeling?""
 ""Yeah, I have. But they're just not understanding. They keep giving me more and more work to do and it's just too much.""
 'Well, maybe you could try talking to them again or looking for a new job. Sometimes change can be really good for us.'
 ""Yeah, that's true. I've been thinking about looking for a new job actually. But it's just so hard to find the time to do that with everything else going on in my life right now.""
 'Do you want me to help you look? We could do it together.'
 'That would be great, Eoin! Thank you so much. Just knowing that I have your support makes me feel a lot better already.']","['Eoin' 'Dalen' 'Eoin' 'Dalen' 'Eoin' 'Dalen' 'Eoin' 'Dalen' 'Eoin'
 'Dalen' 'Eoin' 'Dalen']",Eoin,Dalen,,666047,train,Yes,Yes,No,No
93,PersonX explains why PersonY did something,xWant,to make PersonY feel better,Che explains why Kanye did something. Now Che wants to make Kanye feel better.,"Che explains why Kanye did something. Now Che wants to make Kanye feel better. He says, ""I'm sorry that happened, it must have been really hard for you.""","[""I'm sorry that happened, it must have been really hard for you.""
 ""Yeah, it was pretty tough. I don't know why she did it, but it really hurt.""
 ""Well, I can understand why you're feeling so upset. It's totally natural to feel that way after something like this happens.""
 ""I just wish I knew why she did it. It doesn't make any sense.""
 ""Sometimes people do things that don't make sense to us. But that doesn't mean we should give up on them.""
 ""I guess you're right. Thanks for talking to me, Che. It really helped a lot.""]",['Che' 'Kanye' 'Che' 'Kanye' 'Che' 'Kanye'],Che,Kanye,,666950,train,Yes,Yes,Yes,Yes
94,PersonX tells PersonY to be quiet,xIntent,to make PersonY feel better,Lucca tells Joie to be quiet because Lucca wants to make Joie feel better.,Lucca told Joie to be quiet because Lucca wanted to make Joie feel better by being understanding and supportive.,"[""I'm sorry, Joie. I know you're upset, and I want to help you feel better. But you need to be quiet so I can concentrate.""
 ""I'm sorry, Lucca. It's just that this is really hard for me to deal with.""
 'I know it is, Joie. But you need to trust me that I can help you through this. Just give me a chance, okay?'
 ""All right. I'll try.""
 ""Good. Now, let's start by talking about what happened today...""
 'It was just so unexpected, you know? I mean, I thought we were doing fine. And then out of nowhere, she just dumps me.'
 'Yeah, that sounds really tough. How did you feel when she broke up with you?'
 ""At first I was just in shock. I couldn't believe it was happening. But then I started to get really angry. All these thoughts were going through my head about how much she must have been planning this behind my back, and how she could do this to me after everything we'd been through together.""
 ""Wow, that's a lot of anger. It sounds like you're feeling betrayed and like she really hurt your feelings.""
 ""Yeah...I guess that's it exactly. I just feel so stupid for not seeing it coming, and now I don't know what to do with myself.""
 ""Well, Joie, the first thing you need to do is give yourself some time to grieve the loss of the relationship. It's normal to feel sad and confused after a break-up, and it will take some time for those feelings to start to fade away.""
 ""Yeah...I think you're right. I need some time to process all of this and figure out what comes next for me.""
 'Absolutely. And in the meantime, if you need to talk or vent or just need someone to listen, don\'t hesitate to reach out to me – I\'m here for you, no matter what.""']","['Lucca' 'Joie' 'Lucca' 'Joie' 'Lucca' 'Joie' 'Lucca' 'Joie' 'Lucca'
 'Joie' 'Lucca' 'Joie' 'Lucca']",Lucca,Joie,,668653,train,Yes,Yes,No,No
95,PersonX teaches PersonY well again,xWant,to make PersonY feel better,Bao teaches Daleyza well again. Now Bao wants to make Daleyza feel better.,"Bao teaches Daleyza well again. Bao wants to make Daleyza feel better, so he gives her a hug.","[""Hey, Daleyza. I'm really sorry about what happened earlier. I know you're feeling pretty down right now.""
 'Yeah, I am. I just feel so stupid and embarrassed.'
 ""You shouldn't feel that way. It's not your fault. And besides, you're a great person and an amazing friend. I know you'll get through this.""
 'Thanks, Bao. Just hearing you say that makes me feel a little better already.'
 ""Well, that's good to hear! Come here, give me a hug.""
 ""(hugs Bao) Thank you so much for being here for me, Bao. You're the best friend anyone could ask for.""]",['Bao' 'Daleyza' 'Bao' 'Daleyza' 'Bao' 'Daleyza'],Bao,Daleyza,,670515,train,Yes,Yes,Yes,Yes
96,PersonX tells PersonY that...,xIntent,to make PersonY feel better,Anylah tells Gryffin that because Anylah wants to make Gryffin feel better.,"Anylah tells Gryffin that because Anylah wants to make Gryffin feel better, she will go get him some ice cream. She goes to the store and buys his favorite flavor, chocolate mint, and brings it back to him.","[""Hey, Gryffin. I know you're feeling down, so I went out and got your favorite ice cream.""
 'Thanks, Anylah. That was really thoughtful of you.'
 'Yeah, no problem. I just wanted to make you feel better.'
 ""It's appreciate it. This chocolate mint ice cream is my favorite.""
 ""I know! That's why I got it for you.""
 ""Thanks again, Anylah. You're a really good friend.""]",['Anylah' 'Gryffin' 'Anylah' 'Gryffin' 'Anylah' 'Gryffin'],Anylah,Gryffin,,676441,train,Yes,Yes,Yes,Yes
97,PersonX tells PersonY what PersonY means to them,xIntent,to make PersonY feel better,Simone tells Keondre what Keondre means to them because Simone wants to make Keondre feel better.,Simone told Keondre that she meant the world to them. Simone said that Keondre was the best friend they ever had and that they would always be there for her.,"[""Keondre, you mean the world to me. You're the best friend I've ever had and I'll always be there for you.""
 ""Thanks, Simone. That means a lot to me. I don't know what I would do without you.""
 ""I'm just glad I can be here for you, Keondre. You deserve the best and I'll always try to be there for you, no matter what.""
 'That means a lot to me, Simone. Thank you so much.']",['Simone' 'Keondre' 'Simone' 'Keondre'],Simone,Keondre,,685574,train,Yes,Yes,Yes,Yes
98,PersonX rubs PersonY's neck,xIntent,to make PersonY feel better,Vivica rubs Gabrial's neck because Vivica wants to make Gabrial feel better.,Vivica is rubbing Gabrial's neck because Gabrial has a lot of tension there. Vivica is being very gentle and slow with his movements in order to help Gabrial relax.,"[""Hey, it looks like you're really tense. Do you mind if I give your neck a little rub?""
 'No, that actually sounds really nice. Thank you.'
 ""Sure thing. Just let me know if I'm applying too much pressure."" 'Okay.'
 ""So what's been going on that's been stressing you out?""
 ""It's just work, you know how it is. I can't seem to ever get ahead no matter how hard I try.""
 ""Yeah, I hear you. It's tough when it feels like you're constantly swimming upstream.""
 'Exactly! And on top of that, my boss has been giving me a hard time lately too. Nothing I do is good enough for him.'
 ""That sounds really tough. Have you talked to him about how you're feeling?""
 ""Yeah, but it doesn't seem to make a difference. He just yells at me more and tells me I need to try harder. I don't know what else to do at this point...""
 'Well, sometimes people in positions of authority use their power to make others feel small because they themselves are insecure or unhappy with their own lives. It sounds like your boss might be doing that and taking it out on you because he can\'t control his own life.""'
 'You know, you could be right. I never thought of it that way before.'
 ""Yeah, it's something to think about. In the meantime, try to take things one day at a time and not let yourself get too overwhelmed. You're doing the best you can and that's all anyone can ask for.""
 'Thanks, Vivica. That really helps put things into perspective.'
 'No problem, man. I\'m always here if you need to talk or just want someone to lend a listening ear.""']","['Vivica' 'Gabrial' 'Vivica' 'Gabrial' 'Vivica' 'Gabrial' 'Vivica'
 'Gabrial' 'Vivica' 'Gabrial' 'Vivica' 'Gabrial' 'Vivica' 'Gabrial'
 'Vivica']",Vivica,Gabrial,,690684,train,Yes,Yes,Yes,Yes
99,PersonX offers PersonY some drink,xIntent,to make PersonY feel better,Reanna offers Ernesto some drink because Reanna wants to make Ernesto feel better.,"Reanna pours Ernesto a glass of water and sets it in front of him on the table. ""Drink this,"" Reanna says. ""It will make you feel better.""","[""So, what's going on?""
 ""I don't know. I just feel really sick all of a sudden.""
 ""Let me take a look. [Reanna takes Ernesto's temperature.] You've got a fever.""
 'Yeah, I guess so. I feel awful.'
 'Here, drink this water. It will help you feel better.' 'Thanks.'
 'So, what do you think is causing your fever? Any idea?'
 ""Well, I was out in the sun all day yesterday working in the garden, so maybe that's it.""
 ""Yeah, that could be it. But fevers can also be caused by infections or other illnesses. Are you sure you're not coming down with something else?""
 ""I don't know...I hope not. I really don't feel good at all.""
 ""well, let's keep an eye on it and see how you're feeling in the morning, okay? If your fever isn't gone by then we'll go to the doctor and get you checked out""
 'Alright. Thanks, Reanna.'
 'No problem. Get some rest and drink lots of fluids.']","['Reanna' 'Ernesto' 'Reanna' 'Ernesto' 'Reanna' 'Ernesto' 'Reanna'
 'Ernesto' 'Reanna' 'Ernesto' 'Reanna' 'Ernesto' 'Reanna']",Reanna,Ernesto,,705862,train,Yes,Yes,Yes,Yes
100,PersonX gets PersonY started,xIntent,to make PersonY feel better,Grant gets Fay started because Grant wants to make Fay feel better.,Grant sees that Fay is upset and she wants to make her feel better. Grant asks Fay what's wrong and listens as Fay explains that she's having a bad day. Grant suggests that they do something fun together to take Fay's mind off her troubles.,"[""Hi, Fay. You seem upset. What's wrong?""
 ""I'm having a really bad day. Everything is going wrong.""
 ""That sounds rough. I'm sorry to hear that. Do you want to talk about it?""
 ""Yeah, I guess so. It's just been a really tough day. First, I overslept and had to rush to get ready for school. Then my math teacher gave us this huge test that I didn't study for at all. And on top of that, my best friend got mad at me for something stupid and she won't talk to me now.""
 ""Oh, no! That does sound like a pretty terrible day. I'm sure your friend will forgive you though, especially if you apologize. As for the test, maybe we can study together later and help you out with it.""
 'That would be great, thank you Grant! Just talking to you has made me feel a lot better already.']",['Grant' 'Fay' 'Grant' 'Fay' 'Grant' 'Fay'],Grant,Fay,,708224,train,Yes,Yes,Yes,Yes
101,PersonX does not rub salt in PersonY's wounds,xWant,to make PersonY feel better,Lottie does not rub salt in Donnell's wounds. Now Lottie wants to make Donnell feel better.,"Lottie walked over to Donnell and sat down next to him. She placed her hand on his arm and said, ""I'm sorry that happened. It must have been really hard for you.""","[""I'm sorry that happened. It must have been really hard for you.""
 ""Yeah, it was. I still can't believe she's gone.""
 ""I know. It's like a part of you is missing.""
 ""I feel like I'm lost without her.""
 ""But you're not alone. You have all of us here for you.""
 'Thank you, Lottie. That means a lot to me.']",['Lottie' 'Donnell' 'Lottie' 'Donnell' 'Lottie' 'Donnell'],Lottie,Donnell,,710635,train,Yes,Yes,Yes,Yes
102,PersonX asks PersonY to talk,xIntent,to make PersonY feel better,Bernabe asks Naidelyn to talk because Bernabe wants to make Naidelyn feel better.,"Bernabe, who felt terrible after her fight with Naidelyn, wanted to make things right. She asked Naidelyn to talk with her so she could apologize and explain what had happened from her perspective.","[""I'm sorry about what happened the other day. I know I said some things that I shouldn't have.""
 ""It's okay, I understand. I know you were just upset and didn't mean what you said.""
 ""Yeah, I was really upset when it happened. But even so, there's no excuse for the way I acted.""
 ""Don't worry about it too much. We all say things we don't mean when we're angry.""
 ""Yeah, but this was different. What I said hurt you and that wasn't my intention at all.""
 ""Well, like I said, I understand why you were so upset. And I forgive you for what you said. So let's just forget about it and move on, okay?""
 'Alright, thank you Naidelyn. And again, sorry for what happened.']",['Bernabe' 'Naidelyn' 'Bernabe' 'Naidelyn' 'Bernabe' 'Naidelyn' 'Bernabe'],Bernabe,Naidelyn,,713997,train,Yes,Yes,Yes,No
103,PersonX tells PersonY that they love them,xIntent,to make PersonY feel better,Brice tells Hosanna that they love them because Brice wants to make Hosanna feel better.,"Brice told Hosanna that he loved her because she was kind, caring, and always made him feel happy. He said that she was the best thing in his life and he didn't know what he would do without her.","[""I love you, Hosanna. You're so kind and caring, and you always make me feel happy. You're the best thing in my life, and I don't know what I would do without you.""
 ""Aww, Brice, I love you too! You've been such a great support for me lately and I really appreciate it. Plus, you always make me laugh and I can't imagine my life without you either.""
 ""I'm so glad to hear you say that, Hosanna. You mean everything to me and I want to make sure you know that.""
 ""I do know that, Brice. And I feel the same way about you. You're my everything and I can't imagine my life without you either.""]",['Brice' 'Hosanna' 'Brice' 'Hosanna'],Brice,Hosanna,,730134,train,Yes,Yes,Yes,No
104,PersonX says a big hello to PersonY,xIntent,to make PersonY feel better,Aleksander says a big hello to Aleczander because Aleksander wants to make Aleczander feel better.,"Aleksander says a big hello to Aleczander because Aleksander wants to make Aleczander feel better. He waves his hand and smiles brightly at Aleczander, who is sitting in the corner by himself.","['Hi Aleczander! How are you doing today?'
 ""I'm alright, I guess. Just feeling a bit down.""
 ""That's understandable. It's tough when things don't go the way we want them to.""
 ""Yeah. I was really looking forward to today, but it just hasn't been going well.""
 ""I'm sorry to hear that. What happened?""
 ""Well, first I got into a fight with my best friend and then my mom grounded me so I couldn't go out and do anything fun today.""
 ""That sounds pretty rough. But it sounds like you're handling it all pretty well considering.""
 'Thanks, Aleksander. It helps to talk to you about it.'
 'Anytime, Aleczander. friends are always here for each other, right?']","['Aleksander' 'Aleczander' 'Aleksander' 'Aleczander' 'Aleksander'
 'Aleczander' 'Aleksander' 'Aleczander' 'Aleksander']",Aleksander,Aleczander,,739645,train,Yes,Yes,Yes,Yes
105,PersonX speaks and PersonY listens,xIntent,to make PersonY feel better,Jamauri speaks and Aerin listens because Jamauri wants to make Aerin feel better.,Jamauri told Aerin that she was sorry for what had happened and that she hoped things would get better for her. She promised to be there for her if she ever needed anything.,"[""I'm sorry for what happened, Aerin. I hope things get better for you.""
 ""Thanks, Jamauri. I appreciate it. I'm just really struggling right now.""
 ""I can imagine. It's tough when something like this happens. If you ever need anything, please don't hesitate to reach out to me. I'll be there for you.""
 'That means a lot to me, thank you. Just knowing that I have your support helps a lot.'
 'Of course, anytime. So how are you doing? Really?'
 ""To be honest, some days are better than others. But overall, I'm just trying to take things one day at a time and get through this the best way I can. It's not easy, but I'm determined to make it through this and come out stronger on the other side.""
 'You\'re so strong, Aerin. I admire your strength and determination in the face of all of this adversity. You\'re an inspiration to all of us who know you.""'
 'Thank you, Jamauri. Just hearing you say that gives me the motivation to keep going.'
 ""I'm here for you, anytime you need me.""]","['Jamauri' 'Aerin' 'Jamauri' 'Aerin' 'Jamauri' 'Aerin' 'Jamauri' 'Aerin'
 'Jamauri']",Jamauri,Aerin,,746290,train,Yes,Yes,Yes,Yes
106,PersonX explains PersonY's point,xWant,to make PersonY feel better,Marianna explains Salma's point. Now Marianna wants to make Salma feel better.,"After Salma explained her point, Marianna wanted to make her feel better. He said, ""I'm sorry if I made you upset. I didn't mean to.""","[""I'm sorry if I made you upset. I didn't mean to.""
 ""It's okay, I know you didn't mean it. I just get a little sensitive sometimes when it comes to my art.""
 'Yeah, I can understand that. Art is a very personal thing for some people.'
 ""It is for me, at least. It's like a part of me that I put out there for the world to see, and sometimes it feels like they're judging me based on that.""
 ""That must be really tough for you. But you shouldn't let what other people think stop you from doing what you love.""
 ""Yeah, I know. But it's not always easy to ignore what other people think, especially when their opinion seems to matter more than your own.""
 ""Well, screw them then! If they can't appreciate your art for what it is, then they don't deserve to see it at all.""
 ""Ha, yeah. I guess you're right.""
 ""Of course I am! Now, come on, let's go get something to eat. I'm starving!""]","['Marianna' 'Salma' 'Marianna' 'Salma' 'Marianna' 'Salma' 'Marianna'
 'Salma' 'Marianna']",Marianna,Salma,,749339,train,Yes,Yes,Yes,Yes
107,PersonX tells PersonY to relax,xIntent,to make PersonY feel better,Derrek tells Kohl to relax because Derrek wants to make Kohl feel better.,"Derrek looked at Kohl and could tell that he was tense. He wanted to make Kohl feel better, so he told him to relax. Derrek reassured Kohl that everything would be alright and that he was there for him.","[""Hey, Kohl. It's going to be alright. I'm here for you.""
 ""I know, Derrek. I just can't help but feel a little tense. This is a lot of pressure.""
 'I understand. But you have to trust me when I say that everything will be just fine. Just relax and let me take care of everything.'
 'Alright, Derrek. Thank you for being here for me.'
 'Of course, Kohl. That\'s what friends are for.""'
 'Friends? Is that what we are, Derrek?'
 'Of course we are, Kohl. What else would we be?'
 ""I don't know. It just feels like there's something more between us.""
 'What do you mean?'
 ""I don't know. I can't explain it. But ever since we met, I just feel this connection to you that I can't explain.""
 ""Kohl, I care about you a lot. But I'm not sure what you're trying to say.""
 ""Maybe I'm just feeling lonely and lost right now. This whole thing is just so overwhelming and scary.""
 'Hey, it\'s okay. I\'m here for you, no matter what. We\'ll get through this together, alright? Just lean on me and let me help you through this.""']","['Derrek' 'Kohl' 'Derrek' 'Kohl' 'Derrek' 'Kohl' 'Derrek' 'Kohl' 'Derrek'
 'Kohl' 'Derrek' 'Kohl' 'Derrek']",Derrek,Kohl,,752432,train,Yes,Yes,Yes,Yes
108,PersonX gives PersonY a name,xIntent,to make PersonY feel better,Tarek gives Dashiell a name because Tarek wants to make Dashiell feel better.,"Tarek wanted to make Dashiell feel better, so Tarek gave Dashiell a name. The name was ""Dashiell"".","[""Dashiell, I'm so sorry that happened.""
 ""It's okay, Tarek. I know you didn't mean it.""
 ""I feel terrible. I don't know what came over me.""
 ""It's really not a big deal. I'm just glad you're okay.""
 ""Thank you for being so understanding. I promise it won't happen again.""
 ""Of course not, Tarek. We're friends, right?""]",['Tarek' 'Dashiell' 'Tarek' 'Dashiell' 'Tarek' 'Dashiell'],Tarek,Dashiell,,766248,train,Yes,Yes,Yes,Yes
109,PersonX gives PersonY a bone,xIntent,to make PersonY feel better,Epiphany gives Chanelle a bone because Epiphany wants to make Chanelle feel better.,"Epiphany gave Chanelle a bone because Epiphany wanted to make Chanelle feel better. Chanelle had been whining all morning, and Epiphany thought she might be hungry. He found a leftover bone from his dinner the night before and gave it to her.","[""Hey girl, what's wrong?"" ""I'm just a little hungry.""
 'Well, let me see if I can find you something to eat.'
 'Thank you, Epiphany.'
 ""You're welcome, Chanelle. Here's a bone from my dinner last night. I hope it makes you feel better.""
 ""It smells delicious! I'm sure it will taste even better. Thank you so much, Epiphany. You're the best!""]",['Epiphany' 'Chanelle' 'Epiphany' 'Chanelle' 'Epiphany' 'Chanelle'],Epiphany,Chanelle,,802974,train,Yes,Yes,Yes,Yes
110,PersonX mends PersonY's self-esteem,xWant,to make PersonY feel better,Harlen mends Sione's self-esteem. Now Harlen wants to make Sione feel better.,Harlen decided to take Sione out for coffee to try and make him feel better. He wanted Sione to know that he was appreciated and that he was worth something. Harlen also bought Sione a new book on self-esteem to help him work through his issues.,"[""Thanks for coming out with me, Sione. I know you're going through a tough time right now.""
 ""Yeah, I appreciate it. It's just been really hard lately. I feel like I'm not worth anything.""
 ""That's not true, Sione. You are worth something. You're a good person and you're doing your best. I know it's hard, but don't give up on yourself, okay?""
 'Okay. Thanks, Harlen. Just talking to you makes me feel a little better already.'
 ""Anytime, man. Now let's get some coffee!""
 ""Thanks for the coffee, Harlen. It's really good.""
 ""Yeah, the coffee here is great. But like I was saying, Sione, you're worth a lot. Don't forget that, okay?""
 ""Thanks, Harlen. I'll try not to forget it.""]",['Harlen' 'Sione' 'Harlen' 'Sione' 'Harlen' 'Sione' 'Harlen' 'Sione'],Harlen,Sione,,832216,train,Yes,Yes,Yes,Yes
111,PersonX notices PersonY’s face,xWant,to make PersonY feel better,Isabelle notices Kenyatta’s face. Now Isabelle wants to make Kenyatta feel better.,Kenyatta feels bad. Isabelle notices Kenyatta's face and wants to make her feel better. Isabelle gets Kenyatta a drink of water and sits with her until she feels better.,"['Hey, are you okay? You look a little down.'
 ""Yeah, I'm fine. Just feeling a little under the weather today.""
 'Do you want me to get you anything? Some water or something?'
 'That would be great, thank you.' 'No problem. Here you go.' 'Thanks.'
 ""So what's been going on? You seem pretty stressed lately.""
 ""It's just been a lot lately with work and everything else. I don't really have anyone to talk to about it so it's been weighing on me a bit more than usual.""
 'I completely understand that! It sounds like you could really use someone to talk to about all of this stuff. Maybe we could meet up sometime outside of work and talk more? I\'m always here for you if you need to talk though, even at work.""']","['Isabelle' 'Kenyatta' 'Isabelle' 'Kenyatta' 'Isabelle' 'Kenyatta'
 'Isabelle' 'Kenyatta' 'Isabelle']",Isabelle,Kenyatta,,836790,train,Yes,Yes,Yes,Yes
112,PersonX tries to talk with PersonY,xIntent,to make PersonY feel better,Jeramiah tries to talk with Gissel because Jeramiah wants to make Gissel feel better.,"Jeramiah tried to talk with Gissel, but Gissel didn't want to talk. Jeramiah felt like he needed to say something to make Gissel feel better, so he told him that he was sorry and that he would never let anything like that happen again.","[""Hey, Gissel. I just wanted to say that I'm sorry about what happened. I would never let anything like that happen again.""
 ""Yeah, well you didn't exactly have a choice in the matter, did you?""
 'No, I guess not. But I still feel bad about it.'
 ""It's not your fault. You couldn't have known that was going to happen.""
 'Yeah, but if I had been paying more attention, maybe I could have stopped it.'
 ""It's not your fault, Jeramiah. Really, it's not. Try to forget about it and move on.""
 ""Yeah, you're right. Thanks for talking with me, Gissel. It really helped clear my head.""
 'Any time, man.']","['Jeramiah' 'Gissel' 'Jeramiah' 'Gissel' 'Jeramiah' 'Gissel' 'Jeramiah'
 'Gissel']",Jeramiah,Gissel,,841340,train,Yes,Yes,Yes,Yes
